2021/10/22 08:25:50 Micro started
2021/10/22 08:27:31 main.c main.c
2021/10/22 08:29:00 main.c main.c
2021/10/22 08:29:24 main.c main.c
2021/10/22 08:29:49 main.c main.c
2021/10/22 08:30:10 main.c main.c
2021/10/22 08:30:28 main.c main.c
2021/10/22 08:33:56 main.c main.c
2021/10/22 08:34:07 main.c main.c
2021/10/22 08:36:08 main.c main.c
2021/10/22 08:36:38 main.c main.c
2021/10/22 08:36:47 main.c main.c
2021/10/22 08:36:51 main.c main.c
2021/10/22 08:36:57 main.c main.c
2021/10/22 08:37:18 main.c main.c
2021/10/22 08:40:11 main.c main.c
2021/10/22 08:41:45 main.c main.c
2021/10/22 08:42:59 main.c main.c
2021/10/22 08:44:36 main.c main.c
2021/10/22 08:47:04 main.c main.c
2021/10/22 08:48:49 main.c main.c
2021/10/22 08:50:43 main.c main.c
2021/10/22 08:51:00 main.c main.c
2021/10/22 08:51:36 main.c main.c
2021/10/22 08:53:53 main.c main.c
2021/10/22 08:54:05 main.c main.c
2021/10/22 08:57:05 main.c main.c
2021/10/22 09:00:58 main.c main.c
2021/10/22 09:01:24 main.c main.c
2021/10/22 09:01:32 main.c main.c
2021/10/22 09:01:56 main.c main.c
2021/10/22 09:02:12 main.c main.c
2021/10/22 09:02:37 main.c main.c
2021/10/22 09:03:30 main.c main.c
2021/10/22 09:05:10 main.c main.c
2021/10/22 09:06:53 main.c main.c
2021/10/22 09:07:56 main.c main.c
2021/10/22 09:11:49 main.c main.c
2021/10/22 09:14:15 main.c main.c
2021/10/22 09:20:12 main.c main.c
2021/10/22 09:20:44 main.c main.c
2021/10/22 09:20:52 main.c main.c
2021/10/22 09:22:27 main.c main.c
2021/10/22 09:22:59 main.c main.c
